id,Prediccion
-1.1053458581340658,satisfied
0.6956323199620292,satisfied
-1.6464933182358272,neutral or dissatisfied
0.5257655420509142,satisfied
-0.3572628886082424,satisfied
-0.2858378429349462,satisfied
0.5478586389154653,satisfied
0.7869928139345654,satisfied
-0.7029179525667475,satisfied
0.264736598261874,satisfied
-0.0565617013933254,satisfied
0.9899249063335018,neutral or dissatisfied
1.034368848050972,satisfied
-0.1998161769801693,satisfied
-2.47717056096152,satisfied
-0.9415198702823024,neutral or dissatisfied
1.0664233765244873,neutral or dissatisfied
-1.213930317023101,satisfied
0.5092037342829983,neutral or dissatisfied
0.2983274665071041,satisfied
0.2929578199883315,satisfied
0.4934950267996777,neutral or dissatisfied
0.8901879404350028,neutral or dissatisfied
-0.1407781496952724,satisfied
0.594000808808897,neutral or dissatisfied
-2.1859463988443566,neutral or dissatisfied
1.0664233765244873,satisfied
-0.4357523129484705,satisfied
1.0506819501167102,satisfied
-1.0660219823744477,neutral or dissatisfied
0.3567427243340782,neutral or dissatisfied
-0.0220942000885638,satisfied
0.4123343612102207,neutral or dissatisfied
0.4839088235093814,neutral or dissatisfied
-1.6510825164267795,satisfied
-0.0371642479589324,neutral or dissatisfied
0.0362167845834528,satisfied
0.6166573483367879,satisfied
0.415312208562725,neutral or dissatisfied
0.8427002792157603,neutral or dissatisfied
0.6612313699557499,neutral or dissatisfied
-1.3338266193966863,satisfied
-1.3294426037367966,neutral or dissatisfied
0.8943684112645994,satisfied
-1.727864839973913,neutral or dissatisfied
-0.0518613358843424,satisfied
0.4074939022106709,satisfied
0.774769214350379,neutral or dissatisfied
1.014602529221503,satisfied
0.4754446639196811,neutral or dissatisfied
0.9408389687837728,neutral or dissatisfied
0.6719996205976905,satisfied
1.0664233765244873,satisfied
0.6133468907891693,neutral or dissatisfied
1.0609240455515554,satisfied
-2.47717056096152,neutral or dissatisfied
-0.108271343196345,satisfied
-0.1558358034673932,neutral or dissatisfied
1.054891874907806,neutral or dissatisfied
1.0487024529278923,neutral or dissatisfied
-2.47717056096152,satisfied
0.4838147618081858,neutral or dissatisfied
0.6773870185402634,neutral or dissatisfied
-0.7427738625444821,satisfied
-0.3113409425385725,satisfied
-0.0948545621028232,neutral or dissatisfied
-0.6838213663010669,neutral or dissatisfied
-1.251965241675472,neutral or dissatisfied
0.6683451444195887,satisfied
-0.5378555776997642,satisfied
-0.2190040140564438,neutral or dissatisfied
-1.4069826713446274,neutral or dissatisfied
0.5284404786004646,neutral or dissatisfied
1.0387450337258886,satisfied
-0.2196015769840501,neutral or dissatisfied
-1.3447845926670328,neutral or dissatisfied
0.2986209884833411,neutral or dissatisfied
-2.47717056096152,neutral or dissatisfied
-2.1979166893087903,neutral or dissatisfied
-1.005920272672689,neutral or dissatisfied
0.188595886762614,satisfied
0.0902055004457725,neutral or dissatisfied
-1.7861244866922323,satisfied
0.0959480215500641,neutral or dissatisfied
0.9908534478428624,neutral or dissatisfied
0.1887569653453975,neutral or dissatisfied
0.0129614159249905,neutral or dissatisfied
0.8499866867462087,satisfied
-0.5418510997452856,neutral or dissatisfied
-0.1957368258551219,neutral or dissatisfied
0.4065903774485261,satisfied
-1.0519889094506898,neutral or dissatisfied
0.9672096520364424,satisfied
0.9900882193503764,neutral or dissatisfied
1.0334739513446982,satisfied
0.6800449687274015,neutral or dissatisfied
-0.8206410210866226,neutral or dissatisfied
-0.557325472087287,satisfied
0.71119738456924,neutral or dissatisfied
0.2446316636633388,neutral or dissatisfied
0.3796030541709862,neutral or dissatisfied
1.0664233765244873,neutral or dissatisfied
0.7589338707709847,satisfied
0.1500774217121116,neutral or dissatisfied
0.2557926300428086,satisfied
0.7696743081653296,satisfied
1.06423534604897,satisfied
0.8590888790797296,neutral or dissatisfied
0.455589320780835,neutral or dissatisfied
-2.040337856134042,satisfied
0.2974831837269595,neutral or dissatisfied
0.58138199072757,neutral or dissatisfied
0.6718392219679055,satisfied
0.0163917083557928,neutral or dissatisfied
0.1023128314220543,neutral or dissatisfied
0.3070650834543932,neutral or dissatisfied
-1.3464112084340862,neutral or dissatisfied
-1.420928646749582,satisfied
-0.3565594050506605,neutral or dissatisfied
1.0664233765244873,satisfied
-0.6874128875768153,satisfied
-0.3903812852240367,satisfied
-1.4559640364455233,satisfied
-0.0705755471283644,neutral or dissatisfied
-1.7602023044779938,neutral or dissatisfied
-2.47717056096152,neutral or dissatisfied
0.3896642068868101,neutral or dissatisfied
-0.0698483241272735,neutral or dissatisfied
-0.9680616061536615,satisfied
-0.5988259577178523,satisfied
-2.47717056096152,neutral or dissatisfied
0.461307877327583,neutral or dissatisfied
0.9417750520621704,neutral or dissatisfied
0.8540942311814854,neutral or dissatisfied
0.2474126650904298,satisfied
-2.47717056096152,neutral or dissatisfied
0.4627930445502116,neutral or dissatisfied
0.4657259414004318,satisfied
0.5057155563543142,neutral or dissatisfied
0.824883802503028,neutral or dissatisfied
0.0962311485715677,neutral or dissatisfied
-2.470291763221778,satisfied
-2.47717056096152,neutral or dissatisfied
-1.0607254773091417,satisfied
-0.0737152705918917,satisfied
-2.2777730679307657,neutral or dissatisfied
-0.1410710355896111,satisfied
0.059337099694639,satisfied
0.3691098172987278,neutral or dissatisfied
-2.47717056096152,satisfied
0.9249726232136556,satisfied
0.7587972870885162,satisfied
0.0839948975175183,satisfied
-1.7834421776829632,satisfied
-1.434483285849818,satisfied
-0.0104517607316298,satisfied
1.038813589004687,neutral or dissatisfied
0.1318159592493608,neutral or dissatisfied
0.9079492629502014,satisfied
0.564051219397339,satisfied
1.0664233765244873,satisfied
0.2813817492347834,satisfied
-1.6377469526092974,neutral or dissatisfied
-1.3314133945969984,satisfied
-0.1377470615496612,neutral or dissatisfied
0.7681723331506523,satisfied
-0.2283434433153491,neutral or dissatisfied
-2.47717056096152,neutral or dissatisfied
0.4659010468188173,satisfied
0.8906210906699669,neutral or dissatisfied
0.6704615692260482,satisfied
0.3017717452183533,satisfied
1.0664233765244873,neutral or dissatisfied
0.680575840782371,satisfied
-0.5527108817106321,satisfied
0.7927498168463116,neutral or dissatisfied
0.2139941190807082,satisfied
-0.8092309561184236,neutral or dissatisfied
-1.17644289151405,neutral or dissatisfied
0.6577868487048899,neutral or dissatisfied
1.0664233765244873,neutral or dissatisfied
0.9548974506789674,satisfied
1.0664233765244873,neutral or dissatisfied
0.7182483082580662,neutral or dissatisfied
-0.1867894623116905,satisfied
0.3555373071769336,neutral or dissatisfied
0.7096060722168619,neutral or dissatisfied
0.8464759225581431,neutral or dissatisfied
0.0317172552098578,satisfied
-2.399370920584021,neutral or dissatisfied
1.0465445128456348,satisfied
0.4397798436404355,satisfied
1.0615870497425786,neutral or dissatisfied
-2.47717056096152,satisfied
0.9072268409560336,neutral or dissatisfied
0.4418610692619968,neutral or dissatisfied
0.4883056657124291,satisfied
1.0664233765244873,neutral or dissatisfied
0.5548909244368215,satisfied
1.0081069939829432,satisfied
0.4557338272571797,neutral or dissatisfied
0.7694651312155464,satisfied
-0.1226025023183594,neutral or dissatisfied
0.4093322774938557,satisfied
-1.519854579394581,satisfied
0.4796214040304722,neutral or dissatisfied
-1.645444137023266,neutral or dissatisfied
-2.10511090915957,satisfied
0.5865233308880393,neutral or dissatisfied
0.9099172588274876,satisfied
0.8338431580998422,satisfied
0.6357348012510222,satisfied
-2.47717056096152,satisfied
0.6757360764376968,satisfied
0.7161258659439296,neutral or dissatisfied
0.6802042554333039,neutral or dissatisfied
0.7830337178606646,satisfied
0.0296453803482717,satisfied
-1.9617343541679804,neutral or dissatisfied
0.3361878006673169,neutral or dissatisfied
-0.2056242036891881,neutral or dissatisfied
-0.7978372647732299,neutral or dissatisfied
-1.437436772186455,satisfied
0.7466277415723015,satisfied
0.5578246654022946,neutral or dissatisfied
-0.8841484725568589,neutral or dissatisfied
0.935976421027066,neutral or dissatisfied
-1.4127604240836678,satisfied
-1.261703178606309,neutral or dissatisfied
0.0939642272121341,satisfied
1.0664233765244873,neutral or dissatisfied
0.7855248838627529,satisfied
0.949913126321873,satisfied
-2.47717056096152,neutral or dissatisfied
0.6831339461298646,neutral or dissatisfied
-0.4025831339190218,neutral or dissatisfied
-0.39483074736329,neutral or dissatisfied
0.6370021523621467,neutral or dissatisfied
-2.47717056096152,neutral or dissatisfied
-2.107929689460149,satisfied
-1.2555904268734803,satisfied
-0.12640990131304,neutral or dissatisfied
